As an initiate of the Goddess, I may not accept money from a man.	As an initiate of the Goddess, I may not accept money from a man.
But, sir, of what use is grain to me?	But, sir, of what use is grain to me?
How do you intend to feed them?	How do you intend to feed them?
Ione will take care of them now.	Ione will take care of them now.
But what would that accomplish? Perhaps if you explained more clearly.	But what would that accomplish? Perhaps if you explained more clearly.
But I have no money.	But I have no money.
And how do you propose to do that, Arthur?	And how do you propose to do that, Arthur?
She does not need any help.	She does not need any help.
Perhaps once her problem is solved, the poor girl will feel more like having a casual conversation.	Perhaps once her problem is solved, the poor girl will feel more like having a casual conversation.
She is too distraught to speak.	She is too distraught to speak.
Only the Seeress can answer this question.	Only the Seeress can answer this question.
Seek your answers from the Seeress.	Seek your answers from the Seeress.
That would not help.	That would not help.
You thought me only a simple girl, but I am an initiate of the Goddess sent to watch and test you.	You thought me only a simple girl, but I am an initiate of the Goddess sent to watch and test you.
King Arthur, you have finished your tasks with this act of cleverness. Return to the Seeress for her judgment.	King Arthur, you have finished your tasks with this act of cleverness. Return to the Seeress for her judgment.
I dropped the cage and all my mistress' doves escaped. They will not come back and they are prize doves, hand fed by my mistress from hatchlings!	I dropped the cage and all my mistress' doves escaped. They will not come back and they are prize doves, hand fed by my mistress from hatchlings!
She trusted me with them. I dare not go back without them! Oh, misery!	She trusted me with them. I dare not go back without them! Oh, misery!
Mmmmm, so who are you, with lungs like the hamsin, the all-powerful wind? I see you are a foreigner, but from the look of you, not a very rich one. I only have time for rich men.	Mmmmm, so who are you, with lungs like the hamsin, the all-powerful wind? I see you are a foreigner, but from the look of you, not a very rich one. I only have time for rich men.
Oh, it is you again. The mirror is wonderful. Well, what do you want? Speak up, I have a customer arriving soon.	Oh, it is you again. The mirror is wonderful. Well, what do you want? Speak up, I have a customer arriving soon.
You grow annoying. What do you want, infidel?	You grow annoying. What do you want, infidel?
I do not think the word "girl" is appropriate for this strumpet.	I do not think the word "girl" is appropriate for this strumpet.
From the layers of paint upon her face, the excessive jewelry, the dyed hair and other signs, I would call this woman more than a trifle vain.	From the layers of paint upon her face, the excessive jewelry, the dyed hair and other signs, I would call this woman more than a trifle vain.
The woman, Mari, is not shy about displaying her attributes.	The woman, Mari, is not shy about displaying her attributes.
The smell of her cheap ointments overwhelms even the odors of the gutter.	The smell of her cheap ointments overwhelms even the odors of the gutter.
She pays no attention to you at the moment.	She pays no attention to you at the moment.
Chalas! Enough! I can hear you.	Chalas! Enough! I can hear you.
Ooh, big tough man. I am soooooo frightened. Better put away your sword, stupid infidel. One scream from me and the city guards will come running.	Ooh, big tough man. I am soooooo frightened. Better put away your sword, stupid infidel. One scream from me and the city guards will come running.
I cannot stand here talking all day. I have business to do. If you want something, speak up.	I cannot stand here talking all day. I have business to do. If you want something, speak up.
I am very unhappy right now. I know I am very beautiful, but I have no way to see my own beauty as others see it.	I am very unhappy right now. I know I am very beautiful, but I have no way to see my own beauty as others see it.
And curse that wretched Ibrahim. He left me for his wife, of all things! At least I have kept his precious veil for revenge.	And curse that wretched Ibrahim. He left me for his wife, of all things! At least I have kept his precious veil for revenge.
My arms are not that long, foolish man, but... mmmm...I would dearly love to have that mirror.	My arms are not that long, foolish man, but... mmmm...I would dearly love to have that mirror.
If it were only money I wanted, I could have taken money from Ibrahim. But he dared to say I was vain because I wish to see my own beauty and he would have no part of it.	If it were only money I wanted, I could have taken money from Ibrahim. But he dared to say I was vain because I wish to see my own beauty and he would have no part of it.
He probably gave you money, hoping to trick me. But it will not work. I will get what I want, or you get nothing.	He probably gave you money, hoping to trick me. But it will not work. I will get what I want, or you get nothing.
What would I want with a mule, silly man?	What would I want with a mule, silly man?
I do not want that. Quit wasting my time.	I do not want that. Quit wasting my time.
Since you gave me the mirror, I will give you the veil as a favor. Wait a moment.	Since you gave me the mirror, I will give you the veil as a favor. Wait a moment.
Well.....since you gave me the mirror, I will do you this favor. Wait a moment.	Well.....since you gave me the mirror, I will do you this favor. Wait a moment.
If you are a friend of Ibrahim, you are no friend of mine. He prefers his wife to me, the scoundrel. Let him suffer. He will never get the veil from me.	If you are a friend of Ibrahim, you are no friend of mine. He prefers his wife to me, the scoundrel. Let him suffer. He will never get the veil from me.
Unless, of course, you care to bring me something of greater value. Something that would allow me to see my great beauty as others see it.	Unless, of course, you care to bring me something of greater value. Something that would allow me to see my great beauty as others see it.
I told you, I will exchange it for a way to see for myself how beautiful I am.	I told you, I will exchange it for a way to see for myself how beautiful I am.
Whatever for? Your sword and armour are unequaled in quality.	Whatever for? Your sword and armour are unequaled in quality.
You are more a boy than a man if you think that is what I sell.	You are more a boy than a man if you think that is what I sell.
I shudder to think what you would catch if you were to do so.	I shudder to think what you would catch if you were to do so.
Open my door to you? You could not afford me.	Open my door to you? You could not afford me.
I do not want to talk about the scoundrel. I hope he suffers because he will never get the veil from me.	I do not want to talk about the scoundrel. I hope he suffers because he will never get the veil from me.
Mmmmm, I would dearly love him as a customer, but he has no time for me.	Mmmmm, I would dearly love him as a customer, but he has no time for me.
He is a fat, prudish pig who will not do business with me.	He is a fat, prudish pig who will not do business with me.
I only have time for rich men.	I only have time for rich men.
I will only be happy when I can see for myself how beautiful I am.	I will only be happy when I can see for myself how beautiful I am.
A woman as beautiful as me should have a mirror.	A woman as beautiful as me should have a mirror.
Her? Hah! Men think she is so beautiful, but she is nothing compared to me!	Her? Hah! Men think she is so beautiful, but she is nothing compared to me!
Oh, quit wasting my time.	Oh, quit wasting my time.
My, Ibrahim must grow desperate indeed to send you after his precious veil. You may tell him it is not for sale.	My, Ibrahim must grow desperate indeed to send you after his precious veil. You may tell him it is not for sale.
This overpainted trollop can do without that.	This overpainted trollop can do without that.
You truly are a pest. Go away.	You truly are a pest. Go away.
This damsel is not in distress, Arthur.	This damsel is not in distress, Arthur.
So, you are smarter than you look.	So, you are smarter than you look.
When I have the mirror, you may have the veil.	When I have the mirror, you may have the veil.
It is true! I am as beautiful as they say! Even more so!	It is true! I am as beautiful as they say! Even more so!
Hmmph. And they say mirrors cannot lie. Hah!	Hmmph. And they say mirrors cannot lie. Hah!
A most formidable looking man, but with an honest face. I would say he was previously a soldier who has gone into business selling what he knows best.	A most formidable looking man, but with an honest face. I would say he was previously a soldier who has gone into business selling what he knows best.
He wears an extremely good scimitar and dagger and from the looks of him, he knows how to use them.	He wears an extremely good scimitar and dagger and from the looks of him, he knows how to use them.
Mohammed is busy closing his shop.	Mohammed is busy closing his shop.
