It is the name of my inn, the 'Star of Allah.'	It is the name of my inn, the 'Star of Allah.'
The name of my inn is 'The Star of Allah.' Caupona means inn, habib.	The name of my inn is 'The Star of Allah.' Caupona means inn, habib.
I do my best to keep them out of my inn.	I do my best to keep them out of my inn.
If I only had a broom, I would help you.	If I only had a broom, I would help you.
I cannot help you with that, but you can surely stay at my inn.	I cannot help you with that, but you can surely stay at my inn.
As much as I would like to take your money, I cannot think of serving you until I can clean my inn.	As much as I would like to take your money, I cannot think of serving you until I can clean my inn.
I could never take your money, habibi. I am in your debt.	I could never take your money, habibi. I am in your debt.
But he has the broom.	But he has the broom.
I will never part with this broom!	I will never part with this broom!
Would that I HAD a broom!	Would that I HAD a broom!
Your generosity does you credit, but if I could have anything, I would only desire a broom.	Your generosity does you credit, but if I could have anything, I would only desire a broom.
I could not take another gift. I am in your debt already.	I could not take another gift. I am in your debt already.
Perhaps later, when I recover my losses from being closed for so long.	Perhaps later, when I recover my losses from being closed for so long.
One of the merchants on this street could doubtless sell you that.	One of the merchants on this street could doubtless sell you that.
Odd that the inn should be locked.	Odd that the inn should be locked.
It is still locked.	It is still locked.
Achmed is surely busy sweeping his floor. I doubt he will answer you.	Achmed is surely busy sweeping his floor. I doubt he will answer you.
I am not open for business. Go away.	I am not open for business. Go away.
I cannot open my shop. For weeks I have been without a broom and now I am overcome with filth. All because my cousin, Tariq, is angry with me and will not sell me a broom for any amount of coin. And I offered good money just for a broom!	I cannot open my shop. For weeks I have been without a broom and now I am overcome with filth. All because my cousin, Tariq, is angry with me and will not sell me a broom for any amount of coin. And I offered good money just for a broom!
Do not blame me that I cannot offer you rest and food. Talk to Tariq, who has the stubbornness of a goat. He certainly will not talk to me!	Do not blame me that I cannot offer you rest and food. Talk to Tariq, who has the stubbornness of a goat. He certainly will not talk to me!
I am sorry, but without a broom, I cannot open for business.	I am sorry, but without a broom, I cannot open for business.
Did you want something else? I thought you did.	Did you want something else? I thought you did.
Welcome, habibi, welcome! Come in!	Welcome, habibi, welcome! Come in!
Until then, may I offer you the hospitality of my humble inn. Excuse the mess on the floor. I will clean it while you eat and drink at no charge.	Until then, may I offer you the hospitality of my humble inn. Excuse the mess on the floor. I will clean it while you eat and drink at no charge.
You have eaten well and spent a restless night being bitten by bedbugs and dreaming about Camelot, Gwenhyver, and the Grail.	You have eaten well and spent a restless night being bitten by bedbugs and dreaming about Camelot, Gwenhyver, and the Grail.
 A new sense of urgency fills you. The land and the people will not survive much longer unless you can find the Grail!	 A new sense of urgency fills you. The land and the people will not survive much longer unless you can find the Grail!
Good, I am glad you have the sense not to dally at an inn when your entire kingdom is at stake.	Good, I am glad you have the sense not to dally at an inn when your entire kingdom is at stake.
I can see why you did not remain. You have gotten more flea bites from this brief visit than in all your years in Camelot.	I can see why you did not remain. You have gotten more flea bites from this brief visit than in all your years in Camelot.
Do you think you could possibly stop blundering around terrifying the natives long enough to do what you are supposed to be doing?	Do you think you could possibly stop blundering around terrifying the natives long enough to do what you are supposed to be doing?
How clever of you to somehow convince Tariq to sell the broom. Here, I gladly give you a dirham for it.	How clever of you to somehow convince Tariq to sell the broom. Here, I gladly give you a dirham for it.
Ya'Allah! You have managed to part Tariq from his broom. And you give this to me? But surely...why, this can only mean it is an offering of peace from my cousin through you. He has forgiven me!	Ya'Allah! You have managed to part Tariq from his broom. And you give this to me? But surely...why, this can only mean it is an offering of peace from my cousin through you. He has forgiven me!
Allah bless you, habibi! You have brought my cousin and me together in kinship again. Even though I see you are an infidel, I pray you shall one day know the ecstasy of Paradise!	Allah bless you, habibi! You have brought my cousin and me together in kinship again. Even though I see you are an infidel, I pray you shall one day know the ecstasy of Paradise!
There is nothing to see.	There is nothing to see.
Across the street is an inn.	Across the street is an inn.
There is some sort of antiquities shop and a butcher's shop.	There is some sort of antiquities shop and a butcher's shop.
I have the most profound suspicion that Ismail will not return.	I have the most profound suspicion that Ismail will not return.
He has vanished into his back room.	He has vanished into his back room.
The dog looks like it is well fed from the butcher's scraps.	The dog looks like it is well fed from the butcher's scraps.
Nice try, but I do not think that being nice to Fawaz's dog will do anything to improve Fawaz's temper.	Nice try, but I do not think that being nice to Fawaz's dog will do anything to improve Fawaz's temper.
Do not bother the dog, he may bite.	Do not bother the dog, he may bite.
Would you buy a used chariot from this man?	Would you buy a used chariot from this man?
It loosely translates as "Ismail, King of Antiquities". The rest is Arabic and Hebrew graffiti.	It loosely translates as "Ismail, King of Antiquities". The rest is Arabic and Hebrew graffiti.
Alas, I have let my Greek fade with disuse and cannot translate.	Alas, I have let my Greek fade with disuse and cannot translate.
You should recognize the countenance of the greatest of Roman generals, Julius Caesar.	You should recognize the countenance of the greatest of Roman generals, Julius Caesar.
It is pitch black inside.	It is pitch black inside.
He has nothing displayed except a Roman bust. Behind that is only a short, empty hall leading to a door. He must keep his antiquities locked in another room.	He has nothing displayed except a Roman bust. Behind that is only a short, empty hall leading to a door. He must keep his antiquities locked in another room.
Ismail's shop is closed.	Ismail's shop is closed.
There are no symbols on the antiquities shop.	There are no symbols on the antiquities shop.
There are no wares in sight. He must keep them in a back room.	There are no wares in sight. He must keep them in a back room.
Truly if I could have anything in the world, I would have your money. Yes, that is what I most desire. Your money.	Truly if I could have anything in the world, I would have your money. Yes, that is what I most desire. Your money.
Chas V'Chalila! What possessed me to say such a thing?! Forgive me, habibi. I meant to say that I have a special on saint's relics today. Reasonable prices!	Chas V'Chalila! What possessed me to say such a thing?! Forgive me, habibi. I meant to say that I have a special on saint's relics today. Reasonable prices!
My storehouse of relics is a miracle unto itself! If it is holy, I will have it.	My storehouse of relics is a miracle unto itself! If it is holy, I will have it.
Ahalan, habibi. I am Ismail and within my vaults I have wonders, I have miracles, I have relics of the holy saints and prophets.	Ahalan, habibi. I am Ismail and within my vaults I have wonders, I have miracles, I have relics of the holy saints and prophets.
I have blood of the prophet Mohammed! Hairs from the beard of Guruka Singh! Fingerbones of the saints! A sliver from what the Christians call the True Cross!	I have blood of the prophet Mohammed! Hairs from the beard of Guruka Singh! Fingerbones of the saints! A sliver from what the Christians call the True Cross!
A relic for you today, perhaps? I have a special on saint's fingerbones.	A relic for you today, perhaps? I have a special on saint's fingerbones.
No need to yell, habibi. I am right here.	No need to yell, habibi. I am right here.
Habibi, you accidentally closed your purse without giving me money.	Habibi, you accidentally closed your purse without giving me money.
Buying one relic from this fraud is more than enough.	Buying one relic from this fraud is more than enough.
