A noble thought, but you must find a practical way to do this.	A noble thought, but you must find a practical way to do this.
You cannot care for this boy yourself and still succeed in your mission, nor do I think he would go with you willingly.	You cannot care for this boy yourself and still succeed in your mission, nor do I think he would go with you willingly.
That was a good deed, Arthur.	That was a good deed, Arthur.
The city guard does not look friendly.	The city guard does not look friendly.
Do so, if you think it wise.	Do so, if you think it wise.
Do not trifle with these city guards. They would as soon kill you as look at you.	Do not trifle with these city guards. They would as soon kill you as look at you.
We have orders to find a thief!	We have orders to find a thief!
And we have never seen YOU before.	And we have never seen YOU before.
He must be the one! Kill him!	He must be the one! Kill him!
Did I not warn you against this? But do you listen? Nay, you are too stubborn. Now you are reduced to shish kebab.	Did I not warn you against this? But do you listen? Nay, you are too stubborn. Now you are reduced to shish kebab.
You did not even try to defend yourself, nor can I blame you, after the Seeress crushed any hope of finding the Grail.	You did not even try to defend yourself, nor can I blame you, after the Seeress crushed any hope of finding the Grail.
Perhaps you will be wiser in your next life.	Perhaps you will be wiser in your next life.
You die in poverty, mistaken for a common thief. In your next life, listen more carefully to Mohammed's hints. He is not short of a coin.	You die in poverty, mistaken for a common thief. In your next life, listen more carefully to Mohammed's hints. He is not short of a coin.
The reward for greed is death. In your next life, consider fulfilling the tasks of the Seeress in a more worthwhile manner.	The reward for greed is death. In your next life, consider fulfilling the tasks of the Seeress in a more worthwhile manner.
Ah, please excuse me one moment, habibi.	Ah, please excuse me one moment, habibi.
My apologies. I must have sold the last piece. But I have a special on saints' relics.	My apologies. I must have sold the last piece. But I have a special on saints' relics.
Wait but one instant.	Wait but one instant.
A great pleasure to do business with you! Oh, did I mention that I have also a cup called the Grail?	A great pleasure to do business with you! Oh, did I mention that I have also a cup called the Grail?
A great pleasure to do business with you!	A great pleasure to do business with you!
You refer to the Christian legend of the cup from which the prophet Jesus drank before he was martyred. I know it well. Come close and listen.	You refer to the Christian legend of the cup from which the prophet Jesus drank before he was martyred. I know it well. Come close and listen.
This is not well known, but I possess the very cup, this Holy Grail you seek. It was entrusted to me by an ancient priest who died in my care.	This is not well known, but I possess the very cup, this Holy Grail you seek. It was entrusted to me by an ancient priest who died in my care.
And I told myself, "Ismail, this Grail must never go to an ordinary man, but one day a great warrior will ask for it and you must be ready."	And I told myself, "Ismail, this Grail must never go to an ordinary man, but one day a great warrior will ask for it and you must be ready."
And so I have waited. Clearly you are the man destined to have this Grail. It is a thing beyond value. But for you, only 1 dinar!	And so I have waited. Clearly you are the man destined to have this Grail. It is a thing beyond value. But for you, only 1 dinar!
I will fetch it at once.	I will fetch it at once.
Heh heh, sorry, habibi. I must have sold it. But I have a very good deal on saints' fingerbones! And for you, at half price!	Heh heh, sorry, habibi. I must have sold it. But I have a very good deal on saints' fingerbones! And for you, at half price!
Aye, a girl is inside, probably the butcher's daughter. And she is...ahem...Arthur, she is taking a bath.	Aye, a girl is inside, probably the butcher's daughter. And she is...ahem...Arthur, she is taking a bath.
Have you no shame? She is naked! Avert your eyes, quickly!	Have you no shame? She is naked! Avert your eyes, quickly!
EEEEEEEEEEK!	EEEEEEEEEEK!
Hmm...it looks like someone is in there.	Hmm...it looks like someone is in there.
Here.	Here.
Pretty women always did go to your head, though seldom with such an impact.	Pretty women always did go to your head, though seldom with such an impact.
A rat has bitten you! You may not feel the effects of its poison for a long time, yet the hierophant warned that it means certain death.	A rat has bitten you! You may not feel the effects of its poison for a long time, yet the hierophant warned that it means certain death.
Another rat has bitten you! The poison will now act twice as quickly!	Another rat has bitten you! The poison will now act twice as quickly!
You have been bitten yet again! Now your time is truly limited.	You have been bitten yet again! Now your time is truly limited.
Your fate is sealed, as is this room. I cannot bear to remain and watch the slow, lingering death that awaits you within this dusty tomb. Farewell, Arthur.	Your fate is sealed, as is this room. I cannot bear to remain and watch the slow, lingering death that awaits you within this dusty tomb. Farewell, Arthur.
It was so old, it crumbled to dust upon hitting the floor.	It was so old, it crumbled to dust upon hitting the floor.
It is a terribly old, moldering bone. I cannot imagine why you want it.	It is a terribly old, moldering bone. I cannot imagine why you want it.
There is no water behind the rocks.	There is no water behind the rocks.
Arthur!  Something terrible is happening to you.	Arthur!  Something terrible is happening to you.
Too late the signs are clear.  This water is poisoned.  It killed the camel who had not the sense of your mule.  But then, neither did you.	Too late the signs are clear.  This water is poisoned.  It killed the camel who had not the sense of your mule.  But then, neither did you.
Do not despair so easily, seeker. I entreat you to return and take the Test again or you will regret leaving here in failure.	Do not despair so easily, seeker. I entreat you to return and take the Test again or you will regret leaving here in failure.
Truly you are the most worthy of all men who have passed my door. Go with my blessings and find the hierophant.	Truly you are the most worthy of all men who have passed my door. Go with my blessings and find the hierophant.
There is no-one within. Only I can open that door.	There is no-one within. Only I can open that door.
It rests in your hand, doing nothing unusual for a stone dove. You may as well put it away again.	It rests in your hand, doing nothing unusual for a stone dove. You may as well put it away again.
The dove leads you on. Do not lose sight of it!	The dove leads you on. Do not lose sight of it!
You fool, Arthur! You will lose the dove! Hurry after it!	You fool, Arthur! You will lose the dove! Hurry after it!
OK. Here.	OK. Here.
The stone dove feels oddly warm. 'Tis changing! By the power of Aphrodite, it turns to a living dove within your very hands!	The stone dove feels oddly warm. 'Tis changing! By the power of Aphrodite, it turns to a living dove within your very hands!
Follow my dove and you shall have your soul's desire.	Follow my dove and you shall have your soul's desire.
I have brought you to water, habib.  Drink, before the heat overcomes you.	I have brought you to water, habib.  Drink, before the heat overcomes you.
By custom, I must wait for those I guide to drink first, so please, drink your fill.	By custom, I must wait for those I guide to drink first, so please, drink your fill.
I am happy to see you again!  You were lucky to find this water without me.	I am happy to see you again!  You were lucky to find this water without me.
I have quenched my thirst already.  Please, drink your fill.	I have quenched my thirst already.  Please, drink your fill.
**** Can't do it.	**** Can't do it.
**** OmiGod!  What IS this shit!	**** OmiGod!  What IS this shit!
Arthur!  Defend yourself!	Arthur!  Defend yourself!
That has put a well-needed end to this false guide at last.  You have surely avenged many previous victims.	That has put a well-needed end to this false guide at last.  You have surely avenged many previous victims.
You will see neither the dove nor Aphrodite again.	You will see neither the dove nor Aphrodite again.
You still carry the stone dove given to you by the statue of Aphrodite. I hope you paid attention to the statue's instructions.	You still carry the stone dove given to you by the statue of Aphrodite. I hope you paid attention to the statue's instructions.
Spirals are very ancient symbols. They represent the unending cycle of life. A solar spiral turns to the right. A lunar spiral turns to the left.	Spirals are very ancient symbols. They represent the unending cycle of life. A solar spiral turns to the right. A lunar spiral turns to the left.
Had you searched the catacombs, you might have found him. I fear now it is too late for such thoughts.	Had you searched the catacombs, you might have found him. I fear now it is too late for such thoughts.
He will recover soon enough. Look to your own needs. You must find the Grail before you die of the rat's poison!	He will recover soon enough. Look to your own needs. You must find the Grail before you die of the rat's poison!
He is dead and his death weighs heavily upon your soul.	He is dead and his death weighs heavily upon your soul.
