You let Gawaine die an ignoble death in the Forest Perilous.	You let Gawaine die an ignoble death in the Forest Perilous.
You sacrificed Launcelot to the curse of your jealousy.	You sacrificed Launcelot to the curse of your jealousy.
You did nothing to save the noble Galahad within the catacombs.	You did nothing to save the noble Galahad within the catacombs.
And so you, your kingdom, and all your poor people perish for lack of a king with moral strength. We end not in glory, but with the bitter taste of ashes and dust and black defeat.	And so you, your kingdom, and all your poor people perish for lack of a king with moral strength. We end not in glory, but with the bitter taste of ashes and dust and black defeat.
Your mule has had the sense to run away from the cobras.	Your mule has had the sense to run away from the cobras.
If that is truly your wish, that is what you shall have of me.	If that is truly your wish, that is what you shall have of me.
Alas! You are helpless, completely under Fatima's fatal spell. And here is the reward for your weakness, being strangled to death by Fatima.	Alas! You are helpless, completely under Fatima's fatal spell. And here is the reward for your weakness, being strangled to death by Fatima.
How will I ever explain this to the queen? Tsk- tsk.	How will I ever explain this to the queen? Tsk- tsk.
By giving this purse, you show further proof that you are free of the need to gain material wealth. You grow more and more worthy in my eyes.	By giving this purse, you show further proof that you are free of the need to gain material wealth. You grow more and more worthy in my eyes.
The Test awaits behind this door. Six tablets, each engraved with a symbol of a Goddess, rest next to a stone plaque with six niches.	The Test awaits behind this door. Six tablets, each engraved with a symbol of a Goddess, rest next to a stone plaque with six niches.
Six questions I will pose. You must know to which Goddess the question belongs and place her symbol into the proper niche.	Six questions I will pose. You must know to which Goddess the question belongs and place her symbol into the proper niche.
When all six symbols have been placed, I will tell you whether you have passed or failed. If you fail, you may try again.	When all six symbols have been placed, I will tell you whether you have passed or failed. If you fail, you may try again.
But there is one more thing I require of you, a gesture to show that you are not bound by material possessions. Give me your purse.	But there is one more thing I require of you, a gesture to show that you are not bound by material possessions. Give me your purse.
The door is opened. The Test awaits you.	The door is opened. The Test awaits you.
Arthur?  Arthur.	Arthur?  Arthur.
Arthur, WAKE UP!	Arthur, WAKE UP!
You slept through the entire docking and unloading of the ship.  You indulged too heavily in foreign wine.	You slept through the entire docking and unloading of the ship.  You indulged too heavily in foreign wine.
If your head is pounding, blame no one but yourself.	If your head is pounding, blame no one but yourself.
Sir, I am Hazm.  My master sends his respects and invites you to accept his hospitality.  My Master--	Sir, I am Hazm.  My master sends his respects and invites you to accept his hospitality.  My Master--
Ignore this boy.  You are lucky he did not make off with your mule.  I am Jabir ibn Hamid.  I overheard some sailors say you need a guide through the desert to Jerusalem.	Ignore this boy.  You are lucky he did not make off with your mule.  I am Jabir ibn Hamid.  I overheard some sailors say you need a guide through the desert to Jerusalem.
Please, sir, my Master is Al-Sirat and he is very wise and he asks--	Please, sir, my Master is Al-Sirat and he is very wise and he asks--
Al-Sirat is an impoverished old scholar of no use to anyone.  But I, Jabir, know the desert, every rock, wadi, and waterhole.  Trust me in all things.	Al-Sirat is an impoverished old scholar of no use to anyone.  But I, Jabir, know the desert, every rock, wadi, and waterhole.  Trust me in all things.
Sir, I beg you to accept my Master's hospitality.  He heard of you from the Captain of the ship and he sends warning that the mukhtar of Gaza--	Sir, I beg you to accept my Master's hospitality.  He heard of you from the Captain of the ship and he sends warning that the mukhtar of Gaza--
Allow ME to explain.  The mukhtar is the man who governs this port.  He hates all foreigners and if he catches you here, he will throw you in prison.  We should leave at once.	Allow ME to explain.  The mukhtar is the man who governs this port.  He hates all foreigners and if he catches you here, he will throw you in prison.  We should leave at once.
I can take you to my Master by secret ways and Al-Sirat will protect and tell you--	I can take you to my Master by secret ways and Al-Sirat will protect and tell you--
Get out of here, boy! We men have business together and have no need of chattering pests.  Be off!	Get out of here, boy! We men have business together and have no need of chattering pests.  Be off!
Stranger, you will never survive the desert without my help.  I ask for no payment now.  When we reach Jerusalem safely, I will accept a fair payment.	Stranger, you will never survive the desert without my help.  I ask for no payment now.  When we reach Jerusalem safely, I will accept a fair payment.
Hire me and I shall guide you to Jerusalem at once.	Hire me and I shall guide you to Jerusalem at once.
Sir, I beg you, ask to see my Master and all will be well.	Sir, I beg you, ask to see my Master and all will be well.
May I advise caution here? Do not rush to use the elixir until it seems absolutely necessary.	May I advise caution here? Do not rush to use the elixir until it seems absolutely necessary.
Aye, do what you will with it. Though it will cure the poison, it will never cleanse you of the crime of noble Galahad's death.	Aye, do what you will with it. Though it will cure the poison, it will never cleanse you of the crime of noble Galahad's death.
The miraculous elixir burns like fire through your veins as it purges you of the poison. You are entirely cured....as long as you are not bitten again.	The miraculous elixir burns like fire through your veins as it purges you of the poison. You are entirely cured....as long as you are not bitten again.
The apple's potent spell has relieved your hunger and thirst and given you a new surge of strength.	The apple's potent spell has relieved your hunger and thirst and given you a new surge of strength.
But alas, it cannot stop the poison of the rat's bite from killing you, it can only delay the final end.	But alas, it cannot stop the poison of the rat's bite from killing you, it can only delay the final end.
Alas, the rat's poison has taken its toll and the cold hand of Death has closed upon you forever.	Alas, the rat's poison has taken its toll and the cold hand of Death has closed upon you forever.
Your horse has no desire to swim in the harbour.	Your horse has no desire to swim in the harbour.
Your armour and steel drags you to the bottom and there you will lie until you are rotten, soggy and pulpy and truly forgotten.	Your armour and steel drags you to the bottom and there you will lie until you are rotten, soggy and pulpy and truly forgotten.
As fortune would have it, this ship is the very one you need.  Ignore the Greek name.  It was sold by a Greek trader and the new owner has yet to paint in the new name.	As fortune would have it, this ship is the very one you need.  Ignore the Greek name.  It was sold by a Greek trader and the new owner has yet to paint in the new name.
May your journey be safe and swift, god willing.  You may board now.	May your journey be safe and swift, god willing.  You may board now.
Well, at last you have learned to take my advice.	Well, at last you have learned to take my advice.
You cannot do that from here.	You cannot do that from here.
Nothing remains of the pillar here but the indentation where its base once rested.	Nothing remains of the pillar here but the indentation where its base once rested.
This pillar did not move. Pause and think before your next choice.	This pillar did not move. Pause and think before your next choice.
The pillar did not move. I hope you do not intend to waste more of your valuable energy in such pointless exercise.	The pillar did not move. I hope you do not intend to waste more of your valuable energy in such pointless exercise.
There is no where to go from here. High walls without windows or doors bar the way.	There is no where to go from here. High walls without windows or doors bar the way.
Truly you are a hardy man to have come so far.  But you need water!   Waste no time.  Follow me at once.	Truly you are a hardy man to have come so far.  But you need water!   Waste no time.  Follow me at once.
You have killed the Saracen in a fair fight, and now his soul transforms into a dove and rises into the sky and vanishes from sight.	You have killed the Saracen in a fair fight, and now his soul transforms into a dove and rises into the sky and vanishes from sight.
You would not enjoy that.  These rocks are hot enough to toast nuts.	You would not enjoy that.  These rocks are hot enough to toast nuts.
The ground is rocky and as hot as the furnaces of Hades.	The ground is rocky and as hot as the furnaces of Hades.
Hot as it is, you are better off wearing it than carrying it, and you must not even consider leaving it behind.	Hot as it is, you are better off wearing it than carrying it, and you must not even consider leaving it behind.
In this heat, such a burden would soon kill her.	In this heat, such a burden would soon kill her.
You sold the mule, Arthur.	You sold the mule, Arthur.
The mule is not here.	The mule is not here.
You have no waterskin, sad to say.	You have no waterskin, sad to say.
First you must find one.	First you must find one.
There is no snake here.	There is no snake here.
